"Election ID","Election Name","Society ID","Society Name","Election Start Date","Election End Date"
536,"ArabSoc Treasurer 22-23",440,"Arab Society","2022-05-10 00:00:00","2022-05-15 00:00:00"
537,"ArabSoc Social Media Manager 22-23",440,"Arab Society","2022-05-10 00:00:00","2022-05-15 00:00:00"
538,"ArabSoc Creative Director 22-23",440,"Arab Society","2022-05-10 00:00:00","2022-05-15 00:00:00"
539,"ArabSoc Events Officer 22-23",440,"Arab Society","2022-05-10 00:00:00","2022-05-15 00:00:00"
540,"ArabSoc Sports Officer 22-23",440,"Arab Society","2022-05-10 00:00:00","2022-05-15 00:00:00"
541,"Rounders AGM",298,Rounders,"2022-05-10 10:53:00","2022-05-16 23:52:00"
542,"CEC committee Election",437,"Climate Entrepreneur's Club","2022-05-10 11:17:00","2022-05-27 11:17:00"
543,"Society of Economic Geologists Elections",324,"Society of Economic Geologists","2022-05-05 00:00:00","2022-05-08 12:00:00"
544,"Asia Pacific Studies Society AGM",23,"Asia Pacific Studies","2022-05-02 02:06:00","2022-07-01 21:06:00"
545,"Bhangra society - committee 2022-23",45,"Bhangra Dance Society","2022-05-08 17:00:00","2022-05-15 16:49:00"
546,"UNITED ISLAND AGM",436,"First Love","2022-05-03 13:07:00","2022-05-13 13:08:00"
547,"Leeds University Men's Cricket Club AGM",90,"Cricket (m)","2022-05-16 21:00:00","2022-05-17 23:59:00"
548,"Comedy Society AGM",82,"Comedy Society","2022-05-19 12:07:00","2022-07-28 12:07:00"
549,"Sikh Society EGM",318,Sikh,"2022-05-06 15:00:00","2022-05-16 09:43:00"
550,"Theology and Religion AGM",370,"TRS Society (Theology and Religion)","2022-05-16 00:00:00","2022-05-22 23:59:00"
551,"Commuters' Secretary Election",85,Commuters,"2022-05-20 11:58:00","2022-05-25 17:00:00"
552,"BPM Society AGM",54,"BPM - Electronic Music and DJ Society","2022-05-12 09:00:00","2022-05-14 09:00:00"
554,"LOGsoc AGM 2022/23",447,"Leeds Obstetrics & Gynaecology Society (LOGsoc), (Medics and Dentists)","2022-07-11 17:00:00","2022-07-13 17:00:00"
555,"CrimSoc Election 2",92,"SocCrimSoc (Sociology, Social Policy and Criminal Justice Society)","2022-05-28 10:00:00","2022-05-31 23:59:00"
556,"UAESL - May 2022 AGM | Canceled",371,UAE,"2022-05-13 18:00:00","2022-05-13 19:15:00"
557,"Healthcare Students for Climate Action AGM",149,"Healthcare Students for Climate Action - HESCA","2022-05-19 00:00:00","2022-05-22 00:00:00"
558,"UOLWCC AGM",91,"Cricket (w)","2022-05-14 09:00:00","2022-05-16 00:00:00"
559,"Society of Economic Geologists (reconvened)",324,"Society of Economic Geologists","2022-05-12 12:01:00","2022-05-15 12:00:00"
560,"Leeds RAG EGM 2022",205,"Leeds RAG","2022-06-16 12:48:00","2022-06-26 23:00:00"
561,"North African Society Elections for 2022-2023",479,"North African Society","2022-06-16 11:07:00","2022-06-25 11:05:00"
562,"Japanese Society social media officer election",180,Japanese,"2022-05-19 00:01:00","2022-05-26 23:59:00"
564,"Leeds Law Mooting Secretary",197,Law,"2022-05-18 00:00:00","2022-05-21 00:00:00"
565,"LUU Hungarian Society AGM",167,Hungarian,"2022-06-02 09:00:00","2022-06-08 23:00:00"
566,"Civil Engineering",78,"CivSoc (Civil Engineering)","2022-05-17 00:00:00","2022-05-20 23:58:00"
567,"Leeds Film Society EGM",126,Film,"2022-05-25 12:00:00","2022-05-31 23:59:00"
568,"Classics elections round 2",79,Classics,"2022-05-18 12:30:00","2022-05-23 12:00:00"
569,"Leeds Singaporean Society AGM 2022",319,"Leeds Singaporean Society","2022-06-01 00:00:00","2022-06-30 00:00:00"
570,"Product Design Society Committee 22/23",456,"Product Design Society (PDES)","2022-11-11 16:02:00","2022-11-16 23:00:00"
571,"ChemSoc AGM ROM",74,Chemistry,"2022-05-17 00:00:00","2022-05-20 22:59:00"
572,"HaemSoc election 2022/2023",443,HaemSoc,"2022-05-15 00:00:00","2022-05-17 11:59:00"
573,"Presidential election 2022/23",161,Homed,"2022-05-17 17:04:00","2022-05-20 20:04:00"
574,"Pantomime AGM",273,Pantomime,"2022-05-16 00:00:00","2022-05-18 23:58:00"
575,"Social Secretary",63,"Business School Society (LUBS)","2022-05-17 14:00:00","2022-05-18 14:00:00"
576,"Healthcare Innovation Team (HIT) AGM",148,"Healthcare Innovation Team Leeds","2022-05-25 23:00:00","2022-05-30 23:00:00"
577,"RY LEEDS 2022 ELECTION",292,"Radical Youth Leeds","2022-06-04 00:01:00","2022-06-06 23:58:00"
578,"Pakistani Society AGM",270,Pakistani,"2022-06-01 13:00:00","2022-06-04 23:59:00"
579,"Marxist Society AGM (REAL)",227,Marxist,"2022-05-23 00:01:00","2022-05-26 23:59:00"
580,"LUFILSOC Events Secretary EGM",125,Filipino,"2022-05-17 12:01:00","2022-05-24 21:00:00"
581,"Social Media Charity and Alumni Sec",195,"Lacrosse (w)","2022-05-18 11:10:00","2022-05-21 23:10:00"
582,"President Election",208,"Leeds Uni Boob Team","2022-06-06 09:00:00","2022-07-09 20:00:00"
583,"Weightlifting Captain Re-Election",35,"Barbell Club","2022-05-23 00:01:00","2022-05-27 23:59:00"
584,"Leeds Skate EGM",320,Skate,"2022-05-25 17:30:00","2022-05-29 17:00:00"
585,"Rugby Union (m) AGM",303,"Rugby Union (m)","2022-05-23 00:01:00","2022-05-26 23:59:00"
586,"LUUNC Committee 2022/23",254,Netball,"2022-06-18 10:00:00","2022-06-20 09:00:00"
587,"Leeds Men's Futsal AGM",136,"Futsal (m)","2022-05-25 17:31:00","2022-05-31 23:59:00"
